,Season,Player,MP,PTS,AST,TRB,STL,BLK,TS%,PER,WS,BPM,VORP,USG%,W/L%,Share
94,2015,DeMarre Carroll,31.3,12.6,1.7,5.3,1.3,0.2,0.603,15.9,7.0,1.7,2.0,16.9,0.732,0.0
95,2015,Kenneth Faried,27.8,12.6,1.2,8.9,0.8,0.8,0.548,18.4,5.6,-0.1,1.0,20.3,0.366,0.0
96,2015,Rodney Stuckey,26.4,12.6,3.1,3.5,0.8,0.1,0.528,15.4,4.0,0.3,1.1,23.4,0.463,0.0
97,2015,Nikola Peković,26.3,12.5,0.9,7.5,0.6,0.4,0.502,16.6,1.2,-2.0,0.0,23.1,0.195,0.0
98,2015,Josh Smith,27.7,12.4,3.3,6.4,1.0,1.4,0.467,14.9,2.3,0.7,1.6,24.8,0.5,0.0
99,2015,Danilo Gallinari,24.2,12.4,1.4,3.7,0.8,0.3,0.563,16.8,3.9,2.4,1.6,21.5,0.366,0.0
100,2015,Jabari Parker,29.5,12.3,1.7,5.5,1.2,0.2,0.527,14.5,1.3,-0.5,0.3,20.7,0.5,0.0
101,2015,Marcin Gortat,29.9,12.2,1.2,8.7,0.6,1.3,0.587,18.2,8.6,1.5,2.1,17.6,0.561,0.0
102,2015,J.R. Smith,29.7,12.1,2.8,3.1,1.2,0.3,0.538,13.6,3.7,0.7,1.5,19.3,0.5,0.0
103,2015,Gerald Henderson,28.9,12.1,2.6,3.4,0.6,0.3,0.514,13.2,3.6,-1.4,0.4,20.7,0.402,0.0
104,2015,Kyle Korver,32.2,12.1,2.6,4.1,0.7,0.6,0.699,14.8,7.5,2.8,3.0,14.4,0.732,0.0
105,2015,Ben McLemore,32.6,12.1,1.7,2.9,0.9,0.2,0.552,10.4,2.5,-2.2,-0.2,17.2,0.354,0.0
106,2015,Evan Fournier,28.6,12.0,2.1,2.6,0.7,0.0,0.546,12.4,2.1,-1.8,0.1,19.7,0.305,0.0
107,2015,Jordan Hill,26.8,12.0,1.5,7.9,0.5,0.7,0.494,16.2,2.2,-2.2,-0.1,22.7,0.256,0.0
108,2015,Jarrett Jack,28.0,12.0,4.7,3.1,0.9,0.2,0.522,14.6,2.6,-1.1,0.5,22.6,0.463,0.0
109,2015,Donatas Motiejūnas,28.7,12.0,1.8,5.9,0.8,0.5,0.553,14.4,4.7,-0.5,0.8,19.1,0.683,0.0
110,2015,Jonas Valančiūnas,26.2,12.0,0.5,8.7,0.4,1.2,0.623,20.6,8.2,0.5,1.3,19.1,0.598,0.0
111,2015,Jabari Brown,29.9,11.9,2.1,1.9,0.6,0.1,0.547,11.0,0.4,-4.3,-0.3,18.8,0.256,0.0
112,2015,Jordan Clarkson,25.0,11.9,3.5,3.2,0.9,0.2,0.528,16.9,2.4,0.2,0.8,23.0,0.256,0.0
113,2015,Gerald Green,19.5,11.9,1.2,2.5,0.6,0.2,0.532,15.4,1.9,-0.3,0.6,28.4,0.476,0.0
114,2015,Paul Pierce,26.2,11.9,2.0,4.0,0.6,0.3,0.58,15.2,5.5,1.5,1.7,19.9,0.561,0.0
115,2015,Dion Waiters,27.6,11.8,2.0,2.4,1.1,0.3,0.46,10.9,1.1,-3.3,-0.7,22.5,0.5,0.0
116,2015,Carlos Boozer,23.8,11.8,1.3,6.8,0.6,0.2,0.517,16.4,2.2,-1.7,0.1,23.7,0.256,0.0
117,2015,Langston Galloway,32.4,11.8,3.3,4.2,1.2,0.3,0.489,12.3,1.3,-2.3,-0.1,19.2,0.207,0.0
118,2015,Hassan Whiteside,23.8,11.8,0.1,10.0,0.6,2.6,0.619,26.2,5.3,4.1,1.8,21.1,0.451,0.0
119,2015,Danny Green,28.5,11.7,2.0,4.2,1.2,1.1,0.596,16.5,7.8,4.6,3.8,17.5,0.671,0.0
120,2015,Draymond Green,31.5,11.7,3.7,8.2,1.6,1.3,0.54,16.4,8.5,3.5,3.5,17.2,0.817,0.0
121,2015,Terrence Jones,26.9,11.7,1.1,6.7,0.5,1.8,0.567,18.3,3.0,1.2,0.7,18.4,0.683,0.0
122,2015,David West,28.7,11.7,3.4,6.8,0.7,0.7,0.508,16.0,4.3,1.6,1.7,21.0,0.463,0.0
